Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Tot Touches,T % Def Pen,T % Def 3rd,T % Mid 3rd,T % Att 3rd,T % Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Receiving Targ,Receiving Rec,Receiving Rec%,Miscon,Dispos,Dispos/Carry,Standard Gls,Standard PK,Standard PKatt,Gls-PK,Standard Sh,Standard SoT,Standard FK,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,Final 3rd,PPA,CrsPA,Prog,KP %,1/3 %,PPA %,CrsPA %,Prog %,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Press,Pass Types Sw,Pass Types Crs,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Height Ground,Height Low,Height High,Body Parts Left,Body Parts Right,Body Parts Head,Body Parts TI,Body Parts Other,Outcomes Cmp,Outcomes Off,Outcomes Out,Outcomes Int,Outcomes Blocks,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types OG,Tackles Tkl,Tackles TklW,TacW %,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Clr,Err,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,65.91,3.41,18.96,31.65,19.07,1.83,2090,4.55%,25.31%,42.25%,25.45%,2.44%,52.26,0.65,1.29,50,0.65,0.07,35.84,202.54,112.19,38.67,35.63,92.1,0.75,0.57,0.02,0.11,0.04,0.04,0.07,26,5,0.11,19.2,0.93,0.18,0.08,0.4,0.08,0.06,0.06,0.03,0.01,43.98,55.84,78.8,761.22,332.19,0.57,2.01,28.6,36.49,42.01,86.9,6.92,11.83,58.5,0.07,0.11,-0.04,1.15,3.05,0.9,0.18,7.74,2.05%,5.46%,1.60%,0.32%,13.86%,55.84,42.11,13.73,2.22,0,7.96,1.25,3.15,1.61,0.82,0.54,0.11,33.33,11.54,10.97,35.73,9.18,0.75,9.86,0.11,0.79,0.01,0.01,0.02,0.03,62,2.23,1.15,0.82,0.11,0.07,0.07,5,0.18,0.11,0.04,0.04,0,0,0,1.83,1.15,0.63,1.18,0.57,0.07,0.79,1.94,40.7,1.15,9.57,2.65,27.7,5.7,2.54,1.33,2.04,0.47,0.04,1.58,1.65,2.4,0.11,0.43,0.61,41.4,29,2507,86,73.3,27.9,29,86,0,0,0,1.24,0.75,1.36,-0.61,-0.61,-0.41,0.97,1.35,-0.37,-0.37,0.22
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,59.25,4.94,22.31,25.08,16.5,1.44,2530,7.04%,31.74%,35.69%,23.48%,2.06%,50.58,1.36,2.61,52.1,1.53,0.06,36.69,263.42,150.86,38.86,34.56,88.9,1.08,1.33,0.04,0,0,0,0,14,4,0,28.6,0.39,0.11,0,0,0.01,0.01,0.04,-0.01,-0.01,36.56,46.78,78.1,563.42,189.81,0.89,2.67,33.3,31.53,36.53,86.3,4.14,7.58,54.6,0.03,0.1,-0.08,0.67,1.22,0.89,0.36,3.42,1.43%,2.61%,1.90%,0.77%,7.30%,46.78,37.67,9.11,0.75,0.03,8.08,0.28,2,0,0,0,0,28.28,10.86,7.64,6.08,30.61,1.25,8.36,0.06,0.78,0,0.02,0.01,0.04,54,1.5,1.17,0.06,0.08,0.08,0.11,3,0.08,0.03,0.03,0,0,0.03,0,1.78,1,0.56,1.11,0.47,0.19,0.58,1.25,46.7,0.67,13.47,3.67,27.2,7.81,3.94,1.72,2.78,0.83,0.06,1.94,0.97,2.39,0,0.64,1.17,35.4,36,3240,90,94.7,36,36,90,0,0,0,0.5,0.64,1.97,-1.33,-1.33,-0.83,1.04,1.64,-0.6,-0.6,0.08
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,66.29,9.14,40.39,28.61,2.18,0.96,2276,11.25%,49.69%,35.19%,2.68%,1.19%,63.64,0.75,0.93,80.8,0.75,0,42.89,274.04,153.79,45.21,44.14,97.6,0.43,0.29,0.01,0.11,0,0,0.11,19,5,0,26.3,0.68,0.18,0.16,0.6,0.05,0.05,0.07,0.06,0.06,47.43,54.11,87.7,1054.04,322.89,0.32,0.82,39.1,30.39,33,92.1,16.71,20.29,82.4,0,0.01,-0.01,0.07,1.61,0.11,0,2.96,0.13%,2.97%,0.20%,0.00%,5.48%,54.11,51.32,2.79,2.68,0.04,6.57,1.75,0.04,0,0,0,0,40.79,5.04,8.29,36,14.68,2.36,0.11,0.11,0.88,0,0.01,0.02,0.01,16,0.57,0.39,0,0,0.14,0.04,1,0.04,0.04,0,0,0,0,0,2.18,1.32,0.61,1.54,0.57,0.07,0.5,1,50,0.5,10.68,3.96,37.1,6.75,3.46,0.46,1.54,0.68,0,0.86,1.75,5.93,0.04,3.07,1.5,67.2,28,2520,90,100,28,28,90,0,0,0,1.46,0.93,0.75,0.18,0.18,0,1.04,0.96,0.08,0.08,0
4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,36.47,0.59,5.29,12.94,19.41,5.88,75,1.33%,12.00%,29.33%,44.00%,13.33%,36.47,1.18,2.35,50,1.76,0.59,21.76,164.12,104.12,45.29,22.94,50.6,3.53,1.18,0.05,0.59,0,0,0.59,6,3,0,50,3.44,1.72,0.17,0.33,0.76,0.76,0.22,-0.18,-0.18,10.59,23.53,45,185.88,77.65,0,2.94,0,9.41,16.47,57.1,1.18,4.12,28.6,0,0.12,-0.12,0.59,1.18,1.18,0.59,2.94,2.50%,5.00%,5.00%,2.50%,12.50%,23.53,23.53,0,0,0,4.71,1.18,4.71,0,0,0,0,12.35,5.29,5.88,4.71,13.53,2.94,0,0,0.45,0,0.03,0.03,0.15,2,1.15,0.59,0,0.59,0,0,0,0,0,0,0,0,0,0,0.59,0.59,1,0.59,0,0,0.59,1.76,33.3,1.18,14.71,5.29,36,5.29,6.47,2.94,1.76,0.59,0,1.18,0.59,1.18,0,3.53,6.47,35.3,6,157,26,5.1,1.7,1,57,5,20,5,0.67,1.18,2.94,-1.76,-1.72,-1.29,1.88,2.12,-0.24,-0.21,0.21
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,58.22,1.09,10.45,37.33,14.01,0.99,1290,1.71%,16.36%,58.45%,21.94%,1.55%,54.01,0.59,1.09,54.5,0.59,0,38.71,212.77,104.75,42.28,37.57,88.9,0.69,1.29,0.03,0.05,0,0,0.05,33,7,0.15,21.2,1.63,0.35,0.03,0.14,0.08,0.08,0.05,-0.03,-0.03,39.65,47.38,83.7,724.65,190.59,0.3,1.04,28.6,31.29,33.96,92.1,8.07,12.38,65.2,0.1,0.07,0.03,1.29,4.21,0.3,0.2,4.06,2.72%,8.88%,0.63%,0.42%,8.57%,47.38,42.77,4.6,2.08,0.05,7.77,2.48,3.07,2.33,0.79,0.79,0.35,33.86,5.59,7.92,5.15,39.01,2.08,0.2,0.4,0.84,0,0.02,0.01,0.01,45,2.23,1.34,0.69,0.05,0.1,0.05,4,0.2,0.1,0.05,0,0.05,0,0,2.97,2.03,0.68,1.19,1.68,0.1,1.19,3.07,38.7,1.88,20.64,5.64,27.3,5.99,11.53,3.12,0.89,0.15,0,0.74,1.09,1.09,0,0.69,0.94,42.4,25,1817,73,72.1,20.2,20,85,5,22,1,1.44,0.99,1.24,-0.25,-0.25,-0.5,1,1.37,-0.38,-0.38,-0.58
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,30.14,1.01,2.61,15.65,13.77,3.33,251,2.79%,7.17%,43.03%,37.85%,9.16%,28.41,2.32,3.04,76.2,2.32,0,19.71,135.94,71.3,44.78,20.58,46,3.62,1.74,0.09,0,0,0,0,5,0,0,0,0.72,0,0,0,0.03,0.03,0.05,-0.03,-0.03,10.72,19.13,56.1,157.25,28.84,1.3,3.04,42.9,8.26,14.06,58.8,1.16,2.03,57.1,0,0.14,-0.14,0.72,0.72,0.29,0,1.16,3.79%,3.79%,1.52%,0.00%,6.06%,19.13,17.39,1.74,0,0.14,7.68,0.14,0.43,0,0,0,0,10,5.51,3.62,11.3,2.32,1.59,0,0.72,0.56,0.01,0.02,0.02,0.07,12,1.73,1.16,0,0,0,0.58,1,0.14,0,0,0,0,0.14,0,1.45,1.16,0.8,0.43,0.72,0.29,0.43,1.59,27.3,1.16,26.23,7.68,29.3,0.72,12.46,13.04,0.14,0,0,0.14,0.43,0.72,0,3.91,5.65,40.9,15,623,42,24.7,6.9,6,73,9,20,1,0.93,1.01,2.03,-1.01,-1.01,-0.58,1.14,1.39,-0.26,-0.26,-0.05
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,57.02,5.74,25.59,31.28,4.63,0.59,1275,8.47%,37.73%,46.12%,6.82%,0.86%,54.31,0.48,0.59,81.8,0.59,0.05,35.21,219.2,125.11,33.99,32.93,96.9,0.32,0.11,0,0.11,0,0,0.11,7,4,0,57.1,0.37,0.21,0.29,0.5,0.07,0.07,0.2,0.03,0.03,39.47,47.66,82.8,885.05,323.35,0.32,0.85,37.5,25.69,29.1,88.3,13.46,17.71,76,0,0.01,-0.01,0.11,3.99,0.37,0,5.74,0.22%,8.37%,0.78%,0.00%,12.05%,47.66,44.84,2.82,1.22,0,7.23,1.76,0.48,0,0,0,0,30.85,7.13,9.68,5.9,35.8,2.55,1.6,0.32,0.83,0,0.02,0.02,0.01,11,0.59,0.53,0,0,0.05,0,0,0,0,0,0,0,0,0,1.6,1.17,0.73,0.96,0.53,0.11,0.85,1.81,47.1,0.96,10.64,3.99,37.5,5.8,4.15,0.69,1.65,0.74,0.05,0.9,1.22,4.63,0.05,2.71,1.7,61.4,20,1688,84,55.2,18.8,19,86,1,61,5,1.85,1.7,1.44,0.27,0.27,0.66,1.38,1.28,0.11,0.11,0.06
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,30.08,1.26,2.4,14.43,14.31,6.71,962,3.22%,6.13%,36.90%,36.59%,17.15%,28.01,0.85,1.46,58.3,0.89,0,17.36,94.11,47.11,43.74,20.16,46.1,2.89,1.91,0.11,0.61,0,0,0.61,88,35,0,39.8,3.58,1.42,0.17,0.43,0.62,0.62,0.17,-0.01,-0.01,11.71,16.79,69.7,171.18,33.05,1.06,2.2,48.1,9.07,12.44,72.9,1.59,2.15,73.6,0.12,0.1,0.02,0.73,0.65,0.2,0,1.3,4.36%,3.87%,1.21%,0.00%,7.75%,16.79,14.67,2.11,0,0,6.06,0.2,0.41,0,0,0,0,10.53,3.33,2.93,1.26,12.44,0.73,0,0.69,0.7,0,0.01,0.02,0.06,47,1.91,1.34,0,0.24,0.24,0.08,10,0.41,0.16,0,0.12,0.08,0.04,0,0.57,0.41,0.71,0.16,0.2,0.2,0.16,0.65,25,0.49,17.44,5.28,30.3,0.77,6.87,9.8,0.93,0.2,0,0.73,0.2,1.06,0,2.72,4.51,37.6,34,2215,65,64.8,24.6,25,81,9,20,0,1.82,1.83,1.38,0.45,0.45,0.15,1.84,1.09,0.74,0.74,-0.16
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,59.19,2.84,18.92,34.73,8.65,0.41,485,4.33%,28.87%,52.99%,13.20%,0.62%,57.16,0.95,1.49,63.6,0.95,0,39.46,199.86,77.43,38.92,35.27,90.6,1.22,0.95,0.02,0,0,0,0,5,2,0,40,0.68,0.27,0,0,0.05,0.05,0.08,-0.05,-0.05,40.27,46.22,87.1,635.81,138.92,1.49,2.97,50,34.86,37.84,92.1,3.92,5.41,72.5,0,0.01,-0.01,0.54,2.57,0.68,0.41,3.24,1.17%,5.56%,1.46%,0.88%,7.02%,46.22,43.78,2.43,1.62,0,8.24,0.14,0.95,0,0,0,0,35.41,6.08,4.73,3.38,40.27,1.22,0.14,0.27,0.87,0,0.01,0.01,0.03,10,1.36,1.08,0.14,0.14,0,0,0,0,0,0,0,0,0,0,3.11,1.76,0.57,1.49,1.49,0.14,0.95,2.3,41.2,1.35,22.16,5.68,25.6,9.05,11.22,1.89,2.57,0.41,0,2.16,0.95,2.03,0.14,1.62,1.22,57.1,13,663,51,21.7,7.4,8,74,5,14,14,1.62,1.22,1.22,0,0,-0.04,1.23,1.7,-0.47,-0.48,0.11
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,33.5,67.04,10.75,34.6,32.84,5.43,0.93,2832,12.71%,40.93%,38.84%,6.43%,1.09%,64.78,0.45,0.51,88.2,0.45,0,43.94,333.97,179.55,46.21,45.01,97.4,0.24,0.21,0,0.06,0,0,0.06,15,6,0,40,0.45,0.18,0.13,0.33,0.06,0.06,0.13,0,0,51.07,56.75,90,1171.37,358.96,0.45,0.96,46.9,32.45,34.45,94.2,18.18,21.34,85.2,0.06,0.04,0.01,0.21,3.94,0.42,0.09,3.58,0.37%,6.94%,0.74%,0.16%,6.31%,56.75,54.3,2.45,1.85,0.09,6.09,2.75,0.69,0.03,0,0,0,40.15,6.57,10.03,43.37,9.28,2.12,0.57,0.12,0.9,0,0.01,0,0.01,26,0.78,0.69,0,0.03,0.03,0.03,3,0.09,0.09,0,0,0,0,0,1.49,0.93,0.62,1.01,0.3,0.18,0.39,0.78,50,0.39,9.28,3.34,36,6.18,2.36,0.75,1.79,0.9,0,0.9,1.22,4.87,0.06,2.18,1.04,67.6,34,3014,89,93,33.5,34,89,0,0,1,2.03,2.12,1.07,1.04,1.05,0.25,1.79,1.33,0.45,0.45,0.13
