Rk,Helper,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Tot Touches,T % Def Pen,T % Def 3rd,T % Mid 3rd,T % Att 3rd,T % Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Miscon,Dispos,Dispos/Carry,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog,Standard Gls,Standard PK,Standard PKatt,Gls-PK,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Press,Pass Types Sw,Pass Types Crs,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Height Ground,Height Low,Height High,Body Parts Left,Body Parts Right,Body Parts Head,Body Parts TI,Body Parts Other,Outcomes Cmp,Outcomes Off,Outcomes Out,Outcomes Int,Outcomes Blocks,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,TacW %,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Performance Fls,Performance Fld,Performance Off,Performance PKwon,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
1,Ismael AanebaStrasbourg,Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,fr Ligue 1,21,1999,0.1,40,20,40,10,0,0,7,28.60%,57.10%,14.30%,0.00%,0.00%,40,0,0,0,0,0,20,100,40,0,0,0,0,0,0,30,10,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,100,570,150,0,0,0,10,10,100,10,10,100,0,0,0,0,0,0,0,0,20,20,0,0,0,0,10,0,0,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,10,0,10,20,0,0,10,10,0,0,0,0,0,0,0,20,0,0,0,0,10,0,0,0,2,11,6,0.3,0.1,0,0,0,2,6,18,2,0,0,0,0,0.24,0,3,-0.3,-2.34,-2.51
2,Patrick van AanholtCrystal Palace,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,67.16,3.65,20.56,32.64,17.46,1.93,1502,4.80%,27.00%,42.80%,22.90%,2.50%,57.16,0.46,1.07,42.9,0.46,0,37.16,178.78,96.8,5.79,1.52,0.46,0.66,0.81,0.02,42.34,39.29,92.8,2.34,0,0,0,0,0.91,0.3,33.3,0.91,0.3,0,0,20.3,0.15,0.06,0.06,0.07,-0.06,-0.06,45.13,57.21,78.9,756.6,352.54,23.05,25.99,88.7,17.26,21.22,81.3,3.96,7.66,51.7,0.05,0.04,0.01,0.56,3.45,1.32,0.2,5.69,57.21,47.31,9.9,1.83,0.1,5.69,1.02,1.73,0.1,0,0.1,0,36.4,11.12,9.7,37.72,9.85,1.27,7.97,0.15,45.13,0.61,1.12,1.47,1.73,26,1.32,1.12,0.15,0.05,0,0,0,3,0.15,0.1,0.05,0,0,0,0,1.68,0.96,57.60%,1.07,0.56,0.05,0.76,2.13,35.7,1.37,10.46,3.5,33.5,6.6,2.84,1.02,1.57,0.36,0.05,1.22,1.73,3.4,2.03,0.05,0.51,0.56,47.6,0.56,0.2,0.15,0,22,1777,81,52,19.7,20,88,19,2,11,11,1.05,0.96,1.83,-17,-0.86,-0.42,0.81,1.51,-13.8,-0.7,-0.08
3,Issah AbbasMainz 05,Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,21,1998,0.2,90,0,25,30,40,5,20,0.00%,25.00%,30.00%,40.00%,5.00%,75,5,10,50,10,0,55,235,200,10,5,0,0,5,0.09,60,55,91.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,75,86.7,1300,530,30,35,85.7,25,30,83.3,10,10,100,0,0,0,0,5,0,0,5,75,60,15,0,0,0,0,0,0,0,0,0,50,20,5,0,60,0,15,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,15,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,18,9,0.6,0.2,0,0,0,2,9,5,0,0,0,0,0,0.5,5,0,1,4.88,5.03
4,Yunis AbdelhamidReims,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,64.95,8.69,37.48,30.72,1.28,0.65,2530,11.00%,47.50%,39.00%,1.60%,0.80%,63.24,0.37,0.62,60,0.4,0.03,41.71,235.55,130.47,1.81,0.25,0.03,0.25,0.47,0.01,43.83,42.52,97,0.22,0.09,0,0,0.09,0.47,0.16,33.3,0.47,0.16,0.2,0.6,10.2,0,0.05,0.05,0.11,0.04,0.04,46.92,53.43,87.8,1049.69,361.87,10.47,11.74,89.1,27.82,29.63,93.9,8.32,11.4,73,0,0.01,-0.01,0.12,2.52,0.03,0,2.83,53.43,51.59,1.84,1.84,0,5.23,1.21,0,0,0,0,0,42.52,3.86,7.04,35.36,14.8,1.78,0,0.09,46.92,0.12,0.81,0.75,0.4,11,0.34,0.31,0,0,0.03,0,0,0,0,0,0,0,0,0,0,2.24,1.43,63.90%,1.59,0.62,0.03,0.5,1.18,42.1,0.69,11.81,4.55,38.5,7.85,3.43,0.53,1.59,0.62,0.06,0.97,1.74,3.99,5.3,0,2.9,1.53,65.5,1.18,0.72,0,0,33,2889,88,84.5,32.1,33,88,32,0,0,0,1.18,1.15,1.21,-2,-0.06,0.95,0.93,1.52,-19,-0.59,0.88
5,Sabit AbdulaiGetafe,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,24.29,0,2.86,15.71,8.57,0,19,0.00%,10.50%,57.90%,31.60%,0.00%,24.29,1.43,4.29,33.3,1.43,0,15.71,65.71,31.43,1.43,1.43,0,0,0,0,14.29,11.43,80,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17.14,58.3,190,12.86,2.86,2.86,100,5.71,7.14,80,1.43,4.29,33.3,0,0,0,0,0,1.43,0,1.43,17.14,17.14,0,0,0,10,1.43,1.43,0,0,0,0,11.43,0,5.71,1.43,14.29,1.43,0,0,10,0,1.43,1.43,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0.00%,0,1.43,0,0,1.43,0,1.43,22.86,5.71,25,7.14,11.43,4.29,0,0,0,0,1.43,2.86,1.43,0,1.43,1.43,50,2.86,1.43,0,0,3,60,20,1.8,0.7,0,0,0,3,20,16,0.67,1.43,2.86,-1,-1.5,-1.13,1.29,2.14,-0.7,-1.03,-0.85
6,Mehdi AbeidNantes,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,59.25,1.77,15.17,37.48,11.84,0.88,987,2.60%,22.60%,55.80%,17.60%,1.30%,56.12,1.56,2.18,71.9,1.56,0,40.48,237.14,114.9,4.08,1.5,0.07,0.41,1.22,0.03,42.72,38.44,90,0.95,0,0,0,0,1.36,0,0,1.36,0,0,0,22.9,0.07,0.07,0.07,0.05,-0.07,-0.07,41.9,49.32,85,829.46,200.75,16.8,17.89,93.9,17.01,19.32,88,7.01,10.48,66.9,0,0.05,-0.05,0.82,4.08,0.48,0.27,2.86,49.32,45.99,3.33,2.18,0.07,5.65,2.24,1.43,0.95,0.48,0.27,0.2,37.01,4.76,7.55,6.8,40.07,1.29,0.2,0.27,41.9,0.34,1.02,0.68,0.48,28,1.91,1.22,0.27,0.14,0,0.14,0.14,1,0.07,0.07,0,0,0,0,0,2.52,1.63,64.90%,1.09,1.22,0.2,0.75,1.7,44,0.95,16.67,5.78,34.7,5.1,9.05,2.52,1.22,0.14,0,1.09,1.56,4.08,0.95,0.07,0.82,1.29,38.7,2.04,1.5,0.07,0,18,1320,73,38.6,14.7,15,83,10,3,23,1,0.94,0.95,1.56,-9,-0.61,-0.66,1.15,1.6,-6.6,-0.45,-0.42
7,Laurent AbergelLorient,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,59.97,1.22,15.62,38.57,9.39,0.52,2149,1.90%,23.90%,59.10%,14.40%,0.80%,58.72,0.67,0.94,71,0.67,0,41.4,176.08,87.93,3.25,1.03,0.09,1.25,1.4,0.03,43.37,40.15,92.6,1.43,0.09,0,0,0.09,0.91,0.3,33.3,0.91,0.3,0.1,0.3,25.9,0,0.04,0.04,0.04,0.05,0.05,40.43,48.39,83.5,785.26,198.21,16.11,18.33,87.9,17.48,19.42,90,6.08,8.78,69.2,0.03,0.04,-0.01,0.64,3.43,0.52,0.12,3.37,48.39,46.99,1.4,1.12,0.06,9.67,1.61,0.55,0.03,0.03,0,0,35.68,6.02,6.69,4.16,42.28,1.37,0.21,0.15,40.43,0.15,0.85,1.52,0.85,56,1.7,1.22,0.03,0.03,0.15,0.12,0.15,9,0.27,0.18,0,0,0.03,0.03,0.03,4.86,3.28,67.50%,1.98,2.4,0.49,1.58,5.41,29.2,3.83,29.12,8.18,28.1,9.82,16.38,2.92,1.55,0.18,0.03,1.37,1.4,6.26,0.4,0,0.24,0.58,29.6,1.31,1.16,0,0.03,38,2963,78,86.6,32.9,32,85,22,6,40,0,1.11,1.28,1.61,-11,-0.33,1.04,1.28,1.33,-1.5,-0.05,0.51
8,Charles AbiSaint-Étienne,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,10.1,34.16,0.89,4.06,16.34,15.64,4.36,417,2.20%,9.80%,39.60%,37.90%,10.60%,32.67,1.19,2.67,44.4,1.39,0,20.69,95.84,49.9,2.67,1.09,0.4,3.47,2.48,0.12,48.71,25.05,51.4,6.53,0.3,0,0,0.3,1.88,0.4,21.1,1.87,0.39,0.16,0.75,11.8,0,0.21,0.21,0.11,0.09,0.09,14.26,21.19,67.3,188.02,33.07,8.32,10.79,77.1,3.66,5.15,71.2,0.59,1.98,30,0.2,0.03,0.17,0.79,0.89,0.5,0,1.09,21.19,19.7,1.49,0,0.1,7.62,0.2,0.4,0,0,0,0,13.86,3.27,4.06,14.06,2.57,1.58,0,0.3,14.26,0,0.69,0.1,1.39,14,1.38,1.09,0.1,0.1,0,0.1,0,2,0.2,0.2,0,0,0,0,0,0.69,0.4,57.10%,0.59,0.1,0,0.5,1.39,35.7,0.89,22.18,5.64,25.4,2.38,10.5,9.31,0.69,0.1,0,0.59,0.69,1.39,0.59,0,3.56,6.14,36.7,1.78,0.79,0.69,0,24,912,38,26.7,10.1,9,64,1,15,22,2,1.33,1.58,2.28,-7,-0.69,-0.51,1.51,1.59,-0.7,-0.07,-0.09
9,Matthis AblineRennes,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0,,,,,,,1,0.00%,0.00%,0.00%,100.00%,0.00%,,,,100,,,,,,,,,,,0,,,100,,,,,,,,0,0,0,0,0,0,,,,0,,,,,0,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,0.00%,,,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,1,2,2,0.1,0,0,0,0,1,2,3,3,,,1,45,44.71,,,0.2,9.8,9.55
10,Pape Abou CisseSaint-Étienne,Pape Abou Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,61.14,10.07,37,26.36,1.79,1.14,1069,13.20%,48.50%,34.50%,2.30%,1.50%,59.29,0.36,0.43,83.3,0.36,0,32.57,215.21,117.93,1.14,0.07,0,0.14,0.07,0,33.71,32.93,97.7,0,0,0,0,0,0.93,0.21,23.1,0.93,0.21,0,0,11.3,0,0.09,0.09,0.09,-0.09,-0.09,36.07,44.57,80.9,870.64,313.64,8.93,9.57,93.3,17.29,19.57,88.3,9.43,14.64,64.4,0,0.01,-0.01,0.21,2.14,0.14,0,2.21,44.57,42.71,1.86,1.71,0,4.79,3.07,0.07,0,0,0,0,30.29,3.64,10.64,13.64,27.64,2.14,0.14,0,36.07,0,1.07,0.36,0.21,7,0.5,0.29,0,0,0.14,0.07,0,0,0,0,0,0,0,0,0,1.57,0.79,50.00%,1.14,0.43,0,0.64,1.21,52.9,0.57,7.64,3.21,42.1,5.21,2.07,0.36,1.14,0.36,0,0.79,2.29,3.86,10.14,0.14,4.07,1.07,79.2,0.71,0.64,0.07,0,14,1260,90,36.8,14,14,90,14,0,0,1,1.64,1.5,1.29,3,0.21,0.84,1.44,1.34,1.5,0.11,0.18
