Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,League,Season,PlayerID
1,Julen Agirrezabala,ESP,GK,Athletic Club,20,2000,2.0,1,0,0,0,0,0.6,0.11,-0.4,-0.22,4,16,25.0,30,8,36.7,38.9,16,31.3,31.9,21,1,4.8,4,2.00,17.0,La Liga,2021-2022,65616581648
2,Alisson,BRA,GK,Liverpool,29,1992,9.0,8,0,0,1,0,8.3,0.29,+0.3,+0.03,54,93,58.1,267,48,24.7,31.0,53,50.9,42.0,77,8,10.4,12,1.33,16.6,Premier League,2021-2022,21372055497
3,Kepa Arrizabalaga,ESP,GK,Chelsea,27,1994,1.0,0,0,0,0,0,0.4,0.18,+0.4,+0.36,6,8,75.0,26,6,30.8,30.0,4,0.0,9.3,8,1,12.5,1,1.00,18.0,Premier League,2021-2022,16520495459
4,Sergio Asenjo,ESP,GK,Villarreal,32,1989,2.0,4,0,0,0,0,2.8,0.40,-1.2,-0.61,5,11,45.5,39,7,17.9,28.3,14,28.6,32.5,24,1,4.2,2,1.00,17.1,La Liga,2021-2022,13166421653
5,Emil Audero,ITA,GK,Sampdoria,24,1997,11.0,23,1,1,3,1,18.8,0.32,-3.2,-0.29,94,203,46.3,282,39,51.4,41.1,83,69.9,51.0,85,8,9.4,5,0.45,14.9,Serie A,2021-2022,20443867575
6,Daniel Bachmann,AUT,GK,Watford,27,1994,4.0,7,1,1,1,1,5.8,0.28,-0.2,-0.05,19,45,42.2,95,27,34.7,35.4,35,34.3,36.2,38,2,5.3,1,0.25,12.2,Premier League,2021-2022,96466041428
7,Stefan Bajic,FRA,GK,Saint-Étienne,19,2001,3.2,10,1,1,0,0,9.6,0.46,-0.4,-0.14,15,48,31.3,65,14,44.6,37.6,25,76.0,54.2,27,1,3.7,5,1.58,16.3,Ligue 1,2021-2022,32115654723
8,Oliver Baumann,GER,GK,Hoffenheim,31,1990,10.0,15,0,0,2,0,15.0,0.35,0.0,0.00,50,147,34.0,370,54,33.0,33.2,78,32.1,31.3,77,5,6.5,13,1.30,14.9,Bundesliga,2021-2022,65988465072
9,Asmir Begović,BIH,GK,Everton,34,1987,1.0,3,0,0,0,1,0.9,0.31,-1.1,-1.08,5,16,31.3,11,2,72.7,50.5,12,66.7,49.6,5,1,20.0,0,0.00,15.0,Premier League,2021-2022,90976188058
10,Vid Belec,SVN,GK,Salernitana,31,1990,11.0,23,1,0,4,1,16.1,0.27,-5.9,-0.53,57,156,36.5,177,40,51.4,43.9,90,72.2,53.4,94,5,5.3,6,0.55,14.0,Serie A,2021-2022,70420474374
11,Walter Benítez,ARG,GK,Nice,28,1993,12.0,9,2,0,0,0,12.0,0.28,+3.0,+0.25,50,130,38.5,231,43,38.1,34.6,68,61.8,48.0,81,5,6.2,7,0.58,14.8,Ligue 1,2021-2022,40440070011
12,Paul Bernardoni,FRA,GK,Angers,24,1997,12.0,15,3,1,5,0,12.0,0.25,-3.0,-0.25,49,114,43.0,226,77,32.3,35.2,94,43.6,39.7,126,16,12.7,7,0.58,14.4,Ligue 1,2021-2022,16756711405
13,Dimitry Bertaud,FRA,GK,Montpellier,23,1998,5.0,9,0,1,1,1,7.7,0.30,-0.3,-0.06,44,91,48.4,121,27,52.1,40.0,48,58.3,45.5,46,7,15.2,0,0.00,11.3,Ligue 1,2021-2022,23998734208
14,Marco Bizot,NED,GK,Brest,30,1991,12.0,20,1,0,2,2,13.4,0.26,-4.6,-0.38,98,205,47.8,302,72,45.7,40.1,93,72.0,54.2,97,9,9.3,5,0.42,13.9,Ligue 1,2021-2022,61596311353
15,Yassine Bounou,MAR,GK,Sevilla,30,1991,9.0,4,0,0,0,0,4.0,0.14,0.0,0.00,45,117,38.5,243,37,35.0,35.2,61,52.5,45.0,78,7,9.0,9,1.00,14.0,La Liga,2021-2022,91096819191
16,Claudio Bravo,CHI,GK,Betis,38,1983,6.0,9,0,0,1,1,10.7,0.41,+2.7,+0.45,40,100,40.0,155,19,52.3,44.1,33,57.6,47.6,63,1,1.6,2,0.33,12.7,La Liga,2021-2022,85222609580
17,Fabian Bredlow,GER,GK,Stuttgart,26,1995,3.0,6,0,0,3,0,6.1,0.29,+0.1,+0.02,10,17,58.8,63,16,23.8,30.1,29,6.9,18.8,29,1,3.4,3,1.00,15.6,Bundesliga,2021-2022,53967650958
18,Sascha Burchert,GER,GK,Greuther Fürth,32,1989,6.0,16,1,0,3,2,11.8,0.34,-2.2,-0.37,51,127,40.2,169,23,55.6,45.3,43,76.7,56.3,52,2,3.8,7,1.17,16.8,Bundesliga,2021-2022,76137539989
19,Marc-Aurèle Caillard,FRA,GK,Metz,27,1994,0.0,1,0,0,0,0,1.0,0.96,0.0,-1.11,1,1,100.0,1,0,100.0,62.0,0,0,0,1,0,0.0,0,0.00,0,Ligue 1,2021-2022,79273457049
20,Cárdenas,ESP,GK,Levante,24,1997,3.0,4,0,0,0,0,1.9,0.32,-2.1,-0.69,14,33,42.4,71,12,42.3,37.1,13,23.1,28.5,19,0,0.0,2,0.67,14.4,La Liga,2021-2022,48384365937
21,Kiko Casilla,ESP,GK,Elche,35,1986,12.0,15,0,0,1,0,14.0,0.26,-1.0,-0.08,79,218,36.2,288,62,52.1,41.7,119,57.1,44.2,121,7,5.8,10,0.83,15.5,La Liga,2021-2022,16409352782
22,Koen Casteels,BEL,GK,Wolfsburg,29,1992,10.0,12,1,0,1,0,12.0,0.34,0.0,0.00,71,142,50.0,332,36,31.6,33.3,72,51.4,43.2,77,4,5.2,8,0.80,14.9,Bundesliga,2021-2022,39412672609
