Rk,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,League,Season,TeamID
1,Alavés,2,11,11,990,11.0,14,1.27,36,24,66.7,3,1,7,3,27.3,3,2,1,0,33.3,La Liga,2021-2022,37745278530914180
2,Angers,1,12,12,1080,12.0,15,1.25,37,25,67.6,4,5,3,4,33.3,3,3,0,0,0.0,Ligue 1,2021-2022,66587352409382849
3,Arminia,1,10,10,900,10.0,16,1.6,47,34,72.3,0,5,5,2,20.0,3,3,0,0,0.0,Bundesliga,2021-2022,60726784699523350
4,Arsenal,2,10,10,900,10.0,13,1.3,46,29,71.7,5,2,3,4,40.0,0,0,0,0,0.0,Premier League,2021-2022,5838645288327307
5,Aston Villa,2,10,10,900,10.0,19,1.9,46,28,58.7,3,1,6,3,30.0,2,0,1,1,100.0,Premier League,2021-2022,14348480492050895
6,Atalanta,2,11,11,990,11.0,14,1.27,38,26,68.4,5,4,2,2,18.2,3,2,0,1,0.0,Serie A,2021-2022,87465877057901989
7,Athletic Club,2,11,11,990,11.0,7,0.64,28,20,82.1,4,6,1,5,45.5,2,2,0,0,0.0,La Liga,2021-2022,4823083458145023
8,Atlético Madrid,1,11,11,990,11.0,10,0.91,18,11,61.1,6,4,1,4,36.4,3,3,0,0,0.0,La Liga,2021-2022,74713976168286555
9,Augsburg,1,10,10,900,10.0,19,1.9,46,29,63.0,2,3,5,3,30.0,2,2,0,0,0.0,Bundesliga,2021-2022,82828683183786310
10,Barcelona,2,11,11,990,11.0,12,1.09,36,24,66.7,4,4,3,2,18.2,0,0,0,0,0.0,La Liga,2021-2022,81744823723090567
11,Bayern Munich,1,10,10,900,10.0,10,1.0,35,25,71.4,8,1,1,3,30.0,0,0,0,0,0.0,Bundesliga,2021-2022,7510926916741648
12,Betis,2,12,12,1080,12.0,15,1.25,40,27,65.0,6,3,3,2,16.7,1,1,0,0,0.0,La Liga,2021-2022,9423348454032625
13,Bochum,1,10,10,900,10.0,18,1.8,56,39,67.9,3,1,6,4,40.0,2,0,2,0,100.0,Bundesliga,2021-2022,26656491983030423
14,Bologna,1,11,11,990,11.0,22,2.0,47,31,63.8,4,3,4,4,36.4,5,5,0,0,0.0,Serie A,2021-2022,23275147453355121
15,Bordeaux,1,12,12,1080,12.0,24,2.0,63,42,66.7,2,6,4,0,0.0,3,3,0,0,0.0,Ligue 1,2021-2022,12683680850395737
16,Brentford,2,10,10,900,10.0,12,1.2,34,22,64.7,3,3,4,3,30.0,0,0,0,0,0.0,Premier League,2021-2022,27125852983275500
17,Brest,1,12,12,1080,12.0,20,1.67,50,33,62.0,1,6,5,1,8.3,1,1,0,0,0.0,Ligue 1,2021-2022,27328509848090670
18,Brighton,1,10,10,900,10.0,11,1.1,34,25,73.5,4,4,2,4,40.0,2,2,0,0,0.0,Premier League,2021-2022,49072214318111932
19,Burnley,1,10,10,900,10.0,16,1.6,44,28,63.6,1,4,5,1,10.0,0,0,0,0,0.0,Premier League,2021-2022,21823480134907726
20,Cádiz,1,12,12,1080,12.0,19,1.58,50,34,70.0,1,6,5,2,16.7,4,4,0,0,0.0,La Liga,2021-2022,1007679934589500
21,Cagliari,2,11,11,990,11.0,24,2.18,49,27,57.1,1,3,7,0,0.0,3,3,0,0,0.0,Serie A,2021-2022,32968728316179674
22,Celta Vigo,1,12,12,1080,12.0,14,1.17,46,33,71.7,3,2,7,5,41.7,4,1,3,0,75.0,La Liga,2021-2022,14218303985450920
23,Chelsea,2,10,10,900,10.0,3,0.3,29,27,96.6,8,1,1,7,70.0,2,2,0,0,0.0,Premier League,2021-2022,58172670324373785
24,Clermont Foot,1,12,12,1080,12.0,23,1.92,49,29,57.1,3,4,5,3,25.0,2,2,0,0,0.0,Ligue 1,2021-2022,54976968050746588
25,Crystal Palace,1,10,10,900,10.0,14,1.4,43,29,67.4,2,6,2,3,30.0,0,0,0,0,0.0,Premier League,2021-2022,15352059381074619
26,Dortmund,2,10,10,900,10.0,15,1.5,41,29,68.3,8,0,2,1,10.0,2,2,0,0,0.0,Bundesliga,2021-2022,6921931827204601
27,Eint Frankfurt,1,10,10,900,10.0,15,1.5,53,38,71.7,1,6,3,1,10.0,0,0,0,0,0.0,Bundesliga,2021-2022,37929111009288632
28,Elche,1,12,12,1080,12.0,15,1.25,54,39,72.2,2,4,6,3,25.0,0,0,0,0,0.0,La Liga,2021-2022,30674441257210497
29,Empoli,1,11,11,990,11.0,21,1.91,55,37,63.6,5,0,6,2,18.2,3,1,0,2,0.0,Serie A,2021-2022,77726683749984272
30,Espanyol,1,12,12,1080,12.0,13,1.08,53,41,75.5,3,5,4,4,33.3,0,0,0,0,0.0,La Liga,2021-2022,71314269182841176
31,Everton,2,10,10,900,10.0,16,1.6,42,27,61.9,4,2,4,2,20.0,0,0,0,0,0.0,Premier League,2021-2022,57482013681231466
32,Fiorentina,2,11,11,988,11.0,13,1.18,32,21,65.6,6,0,5,3,27.3,3,2,1,0,33.3,Serie A,2021-2022,24325362613855847
33,Freiburg,1,10,10,900,10.0,7,0.7,36,31,83.3,6,4,0,4,40.0,1,1,0,0,0.0,Bundesliga,2021-2022,17577284562417651
34,Genoa,1,11,11,990,11.0,22,2.0,53,34,64.2,1,5,5,1,9.1,3,3,0,0,0.0,Serie A,2021-2022,87033800759594150
35,Getafe,1,12,12,1080,12.0,18,1.5,44,26,63.6,1,3,8,1,8.3,3,2,0,1,0.0,La Liga,2021-2022,23789167582387071
36,Granada,2,11,11,990,11.0,14,1.27,57,45,78.9,2,5,4,3,27.3,3,2,1,0,33.3,La Liga,2021-2022,45137124328012624
37,Greuther Fürth,2,10,10,900,10.0,27,2.7,53,31,54.7,0,1,9,0,0.0,3,3,0,0,0.0,Bundesliga,2021-2022,11035944553035865
38,Hellas Verona,2,11,11,990,11.0,20,1.82,49,32,63.3,4,3,4,1,9.1,2,2,0,0,0.0,Serie A,2021-2022,45227680351245381
