Rk,Squad,# Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,League,Season,TeamID
1,Alavés,24,11.0,2999,4024,74.5,65913,26753,1134,1355,83.7,1223,1470,83.2,587,1049,56.0,4,5.4,-1.4,73,237,55,25,209,La Liga,2021-2022,37745278530914180
2,Angers,22,12.0,4892,5821,84.0,100324,31790,1700,1905,89.2,2269,2517,90.1,825,1198,68.9,12,7.8,4.2,86,306,52,20,326,Ligue 1,2021-2022,66587352409382849
3,Arminia,22,10.0,2822,3922,72.0,62353,24774,967,1170,82.6,1227,1517,80.9,572,1056,54.2,3,5.7,-2.7,79,223,63,18,256,Bundesliga,2021-2022,60726784699523350
4,Arsenal,26,10.0,3627,4469,81.2,67811,21608,1555,1734,89.7,1534,1758,87.3,456,810,56.3,6,7.5,-1.5,106,259,87,19,264,Premier League,2021-2022,5838645288327307
5,Aston Villa,23,10.0,2942,3920,75.1,62578,22908,1004,1187,84.6,1349,1581,85.3,544,1010,53.9,10,7.3,2.7,75,244,79,18,300,Premier League,2021-2022,14348480492050895
6,Atalanta,24,11.0,4916,6012,81.8,95205,31242,2011,2280,88.2,2156,2500,86.2,676,1041,64.9,13,13.2,-0.2,127,353,119,23,461,Serie A,2021-2022,87465877057901989
7,Athletic Club,23,11.0,3508,4653,75.4,69839,25845,1372,1616,84.9,1546,1868,82.8,531,991,53.6,8,11.8,-3.8,100,280,99,28,367,La Liga,2021-2022,4823083458145023
8,Atlético Madrid,21,11.0,4761,5795,82.2,93208,30655,2057,2279,90.3,1865,2125,87.8,746,1167,63.9,13,10.6,2.4,104,391,105,18,444,La Liga,2021-2022,74713976168286555
9,Augsburg,24,10.0,2571,3663,70.2,56393,21294,897,1098,81.7,1094,1384,79.0,540,1025,52.7,7,5.4,1.6,67,202,56,16,208,Bundesliga,2021-2022,82828683183786310
10,Barcelona,27,11.0,6483,7414,87.4,120006,35626,2761,2991,92.3,2820,3099,91.0,795,1111,71.6,12,14.3,-2.3,110,505,123,25,540,La Liga,2021-2022,81744823723090567
