Rk,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,League,Season,TeamID
1,Alavés,24,28.0,11,990,90,100,11.0,121,80.0,67.0,53,22,75,0.91,6,14,-8,-0.73,10.0,14.8,-4.8,-0.44,La Liga,2021-2022,37745278530914180
2,Angers,22,28.0,12,1080,90,100,12.0,132,84.0,81.0,51,15,57,1.42,18,15,3,0.25,14.7,13.6,1.1,0.09,Ligue 1,2021-2022,66587352409382849
3,Arminia,22,26.6,10,900,90,100,10.0,110,82.0,67.0,43,20,43,0.5,6,16,-10,-1.0,8.9,19.1,-10.1,-1.01,Bundesliga,2021-2022,60726784699523350
4,Arsenal,26,24.9,10,900,90,100,10.0,110,84.0,79.0,30,19,60,1.7,12,13,-1,-0.1,12.5,15.9,-3.4,-0.34,Premier League,2021-2022,5838645288327307
5,Aston Villa,23,26.3,10,900,90,100,10.0,110,84.0,80.0,30,21,60,1.0,14,19,-5,-0.5,11.0,15.9,-4.9,-0.49,Premier League,2021-2022,14348480492050895
6,Atalanta,24,28.0,11,990,90,100,11.0,121,80.0,68.0,53,24,59,1.73,20,14,6,0.55,18.6,16.2,2.4,0.22,Serie A,2021-2022,87465877057901989
7,Athletic Club,23,27.2,11,990,90,100,11.0,121,83.0,68.0,52,17,60,1.64,11,7,4,0.36,17.3,9.4,7.9,0.72,La Liga,2021-2022,4823083458145023
8,Atlético Madrid,21,28.6,11,990,90,100,11.0,121,80.0,70.0,50,23,47,2.0,18,10,8,0.73,13.9,9.4,4.5,0.41,La Liga,2021-2022,74713976168286555
9,Augsburg,24,27.1,10,900,90,100,10.0,110,81.0,60.0,50,21,39,0.9,9,19,-10,-1.0,8.7,20.0,-11.4,-1.14,Bundesliga,2021-2022,82828683183786310
10,Barcelona,27,26.7,11,990,90,100,11.0,121,81.0,71.0,48,21,70,1.45,16,12,4,0.36,19.1,10.7,8.4,0.76,La Liga,2021-2022,81744823723090567
11,Bayern Munich,22,27.1,10,900,90,100,10.0,110,80.0,63.0,46,24,44,2.5,38,10,28,2.8,29.6,8.9,20.7,2.07,Bundesliga,2021-2022,7510926916741648
