Rk,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,League,Season,TeamID
1,Alavés,24,40.7,11.0,5375,790,1998,2413,1224,196,4848,75,143,52.4,82,8,2932,13878,7004,267,72,29,147,111,3728,2999,80.4,209,La Liga,2021-2022,37745278530914180
2,Angers,22,47.0,12.0,7339,742,2725,3577,1474,216,6810,127,255,49.8,138,11,4818,22684,12682,451,126,45,159,189,5530,4892,88.5,326,Ligue 1,2021-2022,66587352409382849
3,Arminia,22,40.2,10.0,5085,732,1983,2121,1236,195,4610,94,168,56.0,101,8,2868,14395,7433,264,68,28,121,122,3537,2822,79.8,256,Bundesliga,2021-2022,60726784699523350
4,Arsenal,26,46.0,10.0,5649,702,1942,2502,1581,255,5232,78,152,51.3,83,3,3547,19331,11046,423,150,50,130,89,4174,3627,86.9,264,Premier League,2021-2022,5838645288327307
5,Aston Villa,23,47.5,10.0,5048,631,1729,2258,1357,242,4570,83,145,57.2,87,5,2951,14583,7823,308,97,31,133,94,3615,2942,81.4,300,Premier League,2021-2022,14348480492050895
6,Atalanta,24,56.1,11.0,7367,649,2200,3488,2099,347,6832,75,162,46.3,81,6,4854,23186,11919,473,152,59,156,146,5662,4916,86.8,461,Serie A,2021-2022,87465877057901989
7,Athletic Club,23,47.1,11.0,5895,657,1823,2762,1649,283,5325,77,139,55.4,86,8,3434,17863,10064,414,129,42,145,114,4124,3508,85.1,367,La Liga,2021-2022,4823083458145023
8,Atlético Madrid,21,53.4,11.0,6901,550,1968,3312,2042,325,6364,102,164,62.2,113,5,4563,22503,12943,545,143,61,126,135,5583,4761,85.3,444,La Liga,2021-2022,74713976168286555
9,Augsburg,24,39.0,10.0,4898,655,1954,2092,1136,189,4394,90,169,53.3,94,5,2724,15018,7629,232,72,25,139,108,3407,2571,75.5,208,Bundesliga,2021-2022,82828683183786310
10,Barcelona,27,67.6,11.0,8662,733,2249,4394,2545,357,8104,128,213,60.1,134,10,6196,29928,16943,729,184,70,159,150,7176,6483,90.3,540,La Liga,2021-2022,81744823723090567
11,Bayern Munich,22,62.3,10.0,7840,686,2455,3782,2143,370,7393,130,218,59.6,139,14,5304,27602,15290,588,203,63,149,112,6467,5641,87.2,535,Bundesliga,2021-2022,7510926916741648
12,Betis,29,56.6,12.0,7751,781,2399,3795,2023,344,7223,116,202,57.4,127,11,5179,26337,14309,575,153,63,156,114,6046,5217,86.3,423,La Liga,2021-2022,9423348454032625
