Rk,Squad,# Pl,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,League,Season,TeamID
1,Alavés,2,11.0,14,2,0,4,0,12.7,0.28,-1.3,-0.12,125,230,54.3,233,22,67.8,49.9,112,64.3,49.0,135,12,8.9,3,0.27,12.0,La Liga,2021-2022,37745278530914180
2,Angers,1,12.0,15,3,1,5,0,12.0,0.25,-3.0,-0.25,49,114,43.0,226,77,32.3,35.2,94,43.6,39.7,126,16,12.7,7,0.58,14.4,Ligue 1,2021-2022,66587352409382849
3,Arminia,1,10.0,16,3,0,3,0,16.2,0.29,0.2,0.02,142,296,48.0,449,32,52.6,44.8,91,65.9,54.0,90,7,7.8,11,1.1,16.9,Bundesliga,2021-2022,60726784699523350
4,Arsenal,2,10.0,13,0,0,1,0,13.2,0.29,0.2,0.02,59,172,34.3,258,53,43.4,38.2,80,75.0,55.9,95,8,8.4,6,0.6,14.9,Premier League,2021-2022,5838645288327307
5,Aston Villa,2,10.0,19,0,1,4,1,14.1,0.29,-3.9,-0.39,66,161,41.0,270,40,44.4,39.2,83,49.4,42.4,64,5,7.8,13,1.3,16.5,Premier League,2021-2022,14348480492050895
6,Atalanta,2,11.0,14,2,0,1,0,13.1,0.32,-0.9,-0.08,67,130,51.5,267,59,31.1,33.5,72,65.3,49.6,82,9,11.0,8,0.73,15.3,Serie A,2021-2022,87465877057901989
7,Athletic Club,2,11.0,7,2,0,0,0,6.9,0.19,-0.1,-0.01,52,129,40.3,195,48,47.2,40.9,90,41.1,40.3,112,5,4.5,7,0.64,13.0,La Liga,2021-2022,4823083458145023
8,Atlético Madrid,1,11.0,10,3,1,2,1,6.5,0.22,-2.5,-0.22,54,131,41.2,215,54,44.2,40.4,72,50.0,42.0,72,7,9.7,3,0.27,14.3,La Liga,2021-2022,74713976168286555
9,Augsburg,1,10.0,19,2,0,0,2,15.8,0.31,-1.2,-0.12,71,192,37.0,270,42,47.8,40.4,80,78.8,58.6,74,7,9.5,9,0.9,14.3,Bundesliga,2021-2022,82828683183786310
10,Barcelona,2,11.0,12,0,1,3,0,11.1,0.31,-0.9,-0.08,59,111,53.2,356,50,25.3,29.8,66,31.8,34.6,72,5,6.9,6,0.55,14.0,La Liga,2021-2022,81744823723090567
