Rk,Squad,# Pl,90s,Tackles: Tkl,Tackles: TklW,Tackles: Def 3rd,Tackles: Mid 3rd,Tackles: Att 3rd,Vs Dribbles: Tkl,Vs Dribbles: Att,Vs Dribbles: Tkl%,Vs Dribbles: Past,Pressures: Press,Pressures: Succ,Pressures: %,Pressures: Def 3rd,Pressures: Mid 3rd,Pressures: Att 3rd,Blocks: Blocks,Blocks: Sh,Blocks: ShSv,Blocks: Pass,Int,Tkl+Int,Clr,Err,League,Season,TeamID
1,Alavés,24,11.0,169,104,81,65,23,48,166,28.9,118,1762,441,25.0,659,768,335,179,45,1,134,138,307,360,3,La Liga,2021-2022,37745278530914180
2,Angers,22,12.0,277,176,149,105,23,114,263,43.3,149,2077,609,29.3,755,919,403,183,29,0,154,176,453,204,3,Ligue 1,2021-2022,66587352409382849
3,Arminia,22,10.0,162,102,67,75,20,47,122,38.5,75,1735,512,29.5,478,816,441,153,39,1,114,146,308,244,6,Bundesliga,2021-2022,60726784699523350
4,Arsenal,26,10.0,141,82,66,53,22,53,121,43.8,68,1276,328,25.7,403,511,362,184,50,0,134,141,282,195,6,Premier League,2021-2022,5838645288327307
5,Aston Villa,23,10.0,140,85,58,62,20,47,141,33.3,94,1298,362,27.9,392,587,319,159,53,1,106,157,297,177,2,Premier League,2021-2022,14348480492050895
6,Atalanta,24,11.0,173,94,78,72,23,63,146,43.2,83,1616,560,34.7,514,703,399,174,38,1,136,152,325,195,2,Serie A,2021-2022,87465877057901989
7,Athletic Club,23,11.0,169,108,70,68,31,63,156,40.4,93,1707,461,27.0,420,790,497,176,35,0,141,129,298,239,1,La Liga,2021-2022,4823083458145023
8,Atlético Madrid,21,11.0,187,114,88,79,20,69,170,40.6,101,1368,421,30.8,428,613,327,129,27,0,102,122,309,170,4,La Liga,2021-2022,74713976168286555
9,Augsburg,24,10.0,166,100,72,71,23,53,155,34.2,102,1530,489,32.0,529,711,290,185,47,1,138,147,313,238,0,Bundesliga,2021-2022,82828683183786310
10,Barcelona,27,11.0,181,121,74,75,32,69,162,42.6,93,1418,486,34.3,397,659,362,152,25,1,127,111,292,169,2,La Liga,2021-2022,81744823723090567
11,Bayern Munich,22,10.0,185,108,76,73,36,74,158,46.8,84,1362,460,33.8,377,597,388,130,12,0,118,162,347,138,2,Bundesliga,2021-2022,7510926916741648
12,Betis,29,12.0,209,140,104,73,32,83,204,40.7,121,1627,473,29.1,539,726,362,182,34,1,148,145,354,300,3,La Liga,2021-2022,9423348454032625
13,Bochum,24,10.0,186,117,89,64,33,69,179,38.5,110,1633,488,29.9,552,714,367,164,41,4,123,204,390,252,3,Bundesliga,2021-2022,26656491983030423
14,Bologna,24,11.0,154,90,83,55,16,60,151,39.7,91,1353,372,27.5,572,510,271,149,44,0,105,106,260,186,7,Serie A,2021-2022,23275147453355121
15,Bordeaux,28,12.0,204,127,98,85,21,77,221,34.8,144,1747,469,26.8,537,856,354,149,33,2,116,195,399,238,3,Ligue 1,2021-2022,12683680850395737
16,Brentford,21,10.0,193,120,88,78,27,69,158,43.7,89,1522,452,29.7,534,654,334,157,25,2,132,153,346,234,3,Premier League,2021-2022,27125852983275500
17,Brest,22,12.0,212,144,112,76,24,67,200,33.5,133,2060,611,29.7,706,950,404,163,30,1,133,209,421,277,2,Ligue 1,2021-2022,27328509848090670
18,Brighton,21,10.0,207,126,107,69,31,63,145,43.4,82,1572,485,30.9,563,607,402,180,40,1,140,135,342,185,1,Premier League,2021-2022,49072214318111932
19,Burnley,18,10.0,161,94,70,66,25,59,137,43.1,78,1221,367,30.1,365,528,328,190,65,5,125,152,313,217,5,Premier League,2021-2022,21823480134907726
20,Cádiz,26,12.0,239,148,132,85,22,88,223,39.5,135,2003,541,27.0,812,887,304,209,42,0,167,165,404,348,4,La Liga,2021-2022,1007679934589500
21,Cagliari,26,11.0,142,93,71,54,17,47,130,36.2,83,1461,378,25.9,580,587,294,160,54,0,106,155,297,220,2,Serie A,2021-2022,32968728316179674
22,Celta Vigo,22,12.0,220,140,106,88,26,59,171,34.5,112,1726,566,32.8,527,792,407,180,30,1,150,163,383,218,1,La Liga,2021-2022,14218303985450920
23,Chelsea,25,10.0,187,110,91,70,26,59,173,34.1,114,1433,435,30.4,474,596,363,166,42,3,124,142,329,254,2,Premier League,2021-2022,58172670324373785
24,Clermont Foot,20,12.0,229,152,105,87,37,100,219,45.7,119,1731,556,32.1,566,794,371,155,32,1,123,157,386,180,4,Ligue 1,2021-2022,54976968050746588
25,Crystal Palace,19,10.0,180,110,100,65,15,66,149,44.3,83,1638,450,27.5,555,723,360,172,40,0,132,133,313,250,2,Premier League,2021-2022,15352059381074619
26,Dortmund,27,10.0,182,126,75,89,18,68,145,46.9,77,1466,531,36.2,432,682,352,155,33,0,122,132,314,189,3,Bundesliga,2021-2022,6921931827204601
27,Eint Frankfurt,24,10.0,194,119,85,81,28,59,174,33.9,115,1632,543,33.3,491,711,430,159,29,1,130,162,356,223,2,Bundesliga,2021-2022,37929111009288632
28,Elche,23,12.0,162,91,89,56,17,55,150,36.7,95,1561,405,25.9,583,712,266,150,40,1,110,186,348,293,5,La Liga,2021-2022,30674441257210497
29,Empoli,24,11.0,189,120,88,69,32,67,169,39.6,102,1703,444,26.1,578,705,420,159,51,1,108,153,342,232,0,Serie A,2021-2022,77726683749984272
30,Espanyol,27,12.0,171,99,84,67,20,65,176,36.9,111,1413,371,26.3,586,581,246,163,45,1,118,133,304,314,7,La Liga,2021-2022,71314269182841176
31,Everton,24,10.0,179,121,102,53,24,74,175,42.3,101,1371,419,30.6,552,548,271,169,42,0,127,163,342,248,2,Premier League,2021-2022,57482013681231466
32,Fiorentina,24,11.0,168,95,73,67,28,69,163,42.3,94,1424,395,27.7,407,657,360,124,21,0,103,134,302,137,3,Serie A,2021-2022,24325362613855847
33,Freiburg,23,10.0,164,93,77,62,25,77,173,44.5,96,1346,398,29.6,456,595,295,153,43,0,110,138,302,296,2,Bundesliga,2021-2022,17577284562417651
34,Genoa,30,11.0,205,126,100,80,25,78,178,43.8,100,1732,509,29.4,591,766,375,193,38,0,155,202,407,211,2,Serie A,2021-2022,87033800759594150
35,Getafe,26,12.0,224,143,105,87,32,85,207,41.1,122,2019,570,28.2,545,994,480,164,27,0,137,187,411,208,5,La Liga,2021-2022,23789167582387071
36,Granada,25,11.0,151,101,74,57,20,51,149,34.2,98,1348,375,27.8,457,647,244,162,45,3,117,133,284,264,4,La Liga,2021-2022,45137124328012624
37,Greuther Fürth,25,10.0,197,116,82,87,28,80,184,43.5,104,1598,489,30.6,503,743,352,157,39,0,118,146,343,241,2,Bundesliga,2021-2022,11035944553035865
38,Hellas Verona,24,11.0,177,116,86,66,25,58,154,37.7,96,1505,441,29.3,543,672,290,159,39,1,120,141,318,288,2,Serie A,2021-2022,45227680351245381
39,Hertha BSC,27,10.0,173,104,99,63,11,57,146,39.0,89,1585,461,29.1,615,705,265,176,36,1,140,155,328,286,1,Bundesliga,2021-2022,59737400018465050
40,Hoffenheim,22,10.0,180,112,78,81,21,69,159,43.4,90,1432,434,30.3,435,662,335,142,22,0,120,149,329,219,3,Bundesliga,2021-2022,29322720181807625
41,Inter,23,11.0,163,100,75,61,27,63,142,44.4,79,1403,399,28.4,434,606,363,142,36,1,106,117,280,187,3,Serie A,2021-2022,53198597771575973
42,Juventus,24,11.0,164,104,83,64,17,47,130,36.2,83,1454,462,31.8,532,624,298,158,45,1,113,132,296,224,6,Serie A,2021-2022,19371054131726661
43,Köln,22,10.0,195,117,86,74,35,86,214,40.2,128,1555,545,35.0,493,653,409,152,25,0,127,208,403,233,5,Bundesliga,2021-2022,39731782814123330
