Rk,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,League,Season,TeamID
1,Alavés,24,11.0,150,13.64,80,30,12,12,13,3,10,0.91,2,2,1,1,2,2,La Liga,2021-2022,37745278530914180
2,Angers,22,12.0,191,15.92,126,20,12,9,17,7,26,2.17,14,3,1,4,4,0,Ligue 1,2021-2022,66587352409382849
3,Arminia,22,10.0,163,16.3,111,14,12,11,9,6,7,0.7,5,0,0,1,1,0,Bundesliga,2021-2022,60726784699523350
4,Arsenal,26,10.0,231,23.1,165,21,12,14,12,7,17,1.7,9,2,0,5,1,0,Premier League,2021-2022,5838645288327307
5,Aston Villa,23,10.0,163,16.3,104,22,14,9,12,2,23,2.3,14,3,3,2,1,0,Premier League,2021-2022,14348480492050895
6,Atalanta,24,11.0,270,24.55,195,28,12,19,10,6,30,2.73,22,0,3,3,1,1,Serie A,2021-2022,87465877057901989
7,Athletic Club,23,11.0,219,19.91,141,31,9,15,12,11,18,1.64,8,3,2,0,3,2,La Liga,2021-2022,4823083458145023
8,Atlético Madrid,21,11.0,210,19.09,156,25,11,8,8,2,30,2.73,25,0,3,0,1,1,La Liga,2021-2022,74713976168286555
9,Augsburg,24,10.0,126,12.6,84,18,4,8,6,6,11,1.1,6,2,0,3,0,0,Bundesliga,2021-2022,82828683183786310
10,Barcelona,27,11.0,236,21.45,177,21,15,4,14,5,29,2.64,24,1,1,0,3,0,La Liga,2021-2022,81744823723090567
11,Bayern Munich,22,10.0,282,28.2,214,24,13,15,8,8,58,5.8,44,6,1,5,1,1,Bundesliga,2021-2022,7510926916741648
12,Betis,29,12.0,281,23.42,201,25,18,13,14,10,26,2.17,15,2,2,1,5,1,La Liga,2021-2022,9423348454032625
13,Bochum,24,10.0,166,16.6,116,14,11,7,12,6,14,1.4,7,1,1,2,2,1,Bundesliga,2021-2022,26656491983030423
