Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,League,Season,PlayerID
1,Julen Agirrezabala,ESP,GK,Athletic Club,20,2000,2,2,180,2.0,1,0.50,5,4,80.0,0,2,0,1,50.0,0,0,0,0,0,La Liga,2021-2022,65616581648
2,Alisson,BRA,GK,Liverpool,29,1992,9,9,810,9.0,8,0.89,30,21,73.3,5,4,0,5,55.6,0,0,0,0,0,Premier League,2021-2022,21372055497
3,Kepa Arrizabalaga,ESP,GK,Chelsea,27,1994,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,0,Premier League,2021-2022,16520495459
4,Sergio Asenjo,ESP,GK,Villarreal,32,1989,2,2,180,2.0,4,2.00,7,3,42.9,1,1,0,0,0.0,0,0,0,0,0,La Liga,2021-2022,13166421653
5,Emil Audero,ITA,GK,Sampdoria,24,1997,11,11,990,11.0,23,2.09,57,36,61.4,2,3,6,2,18.2,1,1,0,0,0.0,Serie A,2021-2022,20443867575
6,Daniel Bachmann,AUT,GK,Watford,27,1994,4,4,360,4.0,7,1.75,17,12,64.7,1,0,3,0,0.0,1,1,0,0,0.0,Premier League,2021-2022,96466041428
7,Stefan Bajic,FRA,GK,Saint-Étienne,19,2001,4,2,285,3.2,10,3.16,19,10,52.6,0,1,1,0,0.0,1,1,0,0,0.0,Ligue 1,2021-2022,32115654723
8,Oliver Baumann,GER,GK,Hoffenheim,31,1990,10,10,900,10.0,15,1.50,46,31,67.4,4,2,4,4,40.0,0,0,0,0,0,Bundesliga,2021-2022,65988465072
9,Asmir Begović,BIH,GK,Everton,34,1987,1,1,90,1.0,3,3.00,3,1,0.0,0,0,1,0,0.0,0,0,0,0,0,Premier League,2021-2022,90976188058
10,Vid Belec,SVN,GK,Salernitana,31,1990,11,11,990,11.0,23,2.09,56,35,60.7,2,1,8,1,9.1,1,1,0,0,0.0,Serie A,2021-2022,70420474374
11,Walter Benítez,ARG,GK,Nice,28,1993,12,12,1080,12.0,9,0.75,37,30,81.1,7,3,2,5,41.7,2,2,0,0,0.0,Ligue 1,2021-2022,40440070011
12,Paul Bernardoni,FRA,GK,Angers,24,1997,12,12,1080,12.0,15,1.25,37,25,67.6,4,5,3,4,33.3,3,3,0,0,0.0,Ligue 1,2021-2022,16756711405
13,Dimitry Bertaud,FRA,GK,Montpellier,23,1998,5,5,450,5.0,9,1.80,26,18,65.4,2,1,2,1,20.0,0,0,0,0,0,Ligue 1,2021-2022,23998734208
14,Marco Bizot,NED,GK,Brest,30,1991,12,12,1080,12.0,20,1.67,50,33,62.0,1,6,5,1,8.3,1,1,0,0,0.0,Ligue 1,2021-2022,61596311353
15,Yassine Bounou,MAR,GK,Sevilla,30,1991,9,9,810,9.0,4,0.44,22,18,81.8,5,3,1,5,55.6,1,0,1,0,100.0,La Liga,2021-2022,91096819191
16,Claudio Bravo,CHI,GK,Betis,38,1983,6,6,540,6.0,9,1.50,26,18,65.4,4,1,1,1,16.7,0,0,0,0,0,La Liga,2021-2022,85222609580
17,Fabian Bredlow,GER,GK,Stuttgart,26,1995,3,3,270,3.0,6,2.00,21,15,71.4,0,2,1,0,0.0,0,0,0,0,0,Bundesliga,2021-2022,53967650958
18,Sascha Burchert,GER,GK,Greuther Fürth,32,1989,6,6,540,6.0,16,2.67,35,21,57.1,0,1,5,0,0.0,1,1,0,0,0.0,Bundesliga,2021-2022,76137539989
19,Marc-Aurèle Caillard,FRA,GK,Metz,27,1994,1,0,3,0.0,1,30.00,1,0,0.0,0,0,0,0,0,0,0,0,0,0,Ligue 1,2021-2022,79273457049
20,Cárdenas,ESP,GK,Levante,24,1997,3,3,270,3.0,4,1.33,6,2,33.3,0,1,2,0,0.0,0,0,0,0,0,La Liga,2021-2022,48384365937
21,Kiko Casilla,ESP,GK,Elche,35,1986,12,12,1080,12.0,15,1.25,54,39,72.2,2,4,6,3,25.0,0,0,0,0,0,La Liga,2021-2022,16409352782
22,Koen Casteels,BEL,GK,Wolfsburg,29,1992,10,10,900,10.0,12,1.20,31,20,64.5,5,1,4,4,40.0,3,1,2,0,66.7,Bundesliga,2021-2022,39412672609
23,Leonardo César Jardim,BRA,GK,Lille,26,1995,2,2,180,2.0,7,3.50,11,4,45.5,0,1,1,0,0.0,2,1,1,0,50.0,Ligue 1,2021-2022,4306597298
24,Jasper Cillessen,NED,GK,Valencia,32,1989,6,6,540,6.0,10,1.67,22,14,63.6,1,3,2,2,33.3,2,2,0,0,0.0,La Liga,2021-2022,20098656361
25,Andrea Consigli,ITA,GK,Sassuolo,34,1987,11,11,990,11.0,15,1.36,36,24,66.7,4,2,5,2,18.2,3,3,0,0,0.0,Serie A,2021-2022,74368818468
26,Benoît Costil,FRA,GK,Bordeaux,34,1987,12,12,1080,12.0,24,2.00,63,42,66.7,2,6,4,0,0.0,3,3,0,0,0.0,Ligue 1,2021-2022,10654496657
27,Thibaut Courtois,BEL,GK,Real Madrid,29,1992,11,11,990,11.0,12,1.09,38,27,71.1,7,3,1,3,27.3,1,1,0,0,0.0,La Liga,2021-2022,43589690006
28,Alessio Cragno,ITA,GK,Cagliari,27,1994,10,10,900,10.0,20,2.00,45,26,60.0,1,3,6,0,0.0,2,2,0,0,0.0,Serie A,2021-2022,85139311050
29,Karl Darlow,ENG,GK,Newcastle Utd,31,1990,6,6,540,6.0,11,1.83,30,20,66.7,0,3,3,0,0.0,1,1,0,0,0.0,Premier League,2021-2022,984608828
30,Arthur Desmas,FRA,GK,Clermont Foot,27,1994,12,12,1080,12.0,23,1.92,49,29,57.1,3,4,5,3,25.0,2,2,0,0,0.0,Ligue 1,2021-2022,22740975355
31,Stole Dimitrievski,MKD,GK,Rayo Vallecano,27,1993,12,11,1062,11.8,12,1.02,38,30,78.9,6,2,3,4,36.4,6,4,2,0,33.3,La Liga,2021-2022,13225660398
32,Matías Dituro,ARG,GK,Celta Vigo,34,1987,12,12,1080,12.0,14,1.17,46,33,71.7,3,2,7,5,41.7,4,1,3,0,75.0,La Liga,2021-2022,19825804046
33,Marko Dmitrović,SRB,GK,Sevilla,29,1992,2,2,180,2.0,3,1.50,9,6,66.7,2,0,0,1,50.0,0,0,0,0,0,La Liga,2021-2022,30041028688
34,Gianluigi Donnarumma,ITA,GK,Paris S-G,22,1999,5,5,450,5.0,5,1.00,16,11,68.8,4,0,1,1,20.0,0,0,0,0,0,Ligue 1,2021-2022,41487876401
35,Bartłomiej Drągowski,POL,"GK,DF",Fiorentina,24,1997,5,5,376,4.2,6,1.44,15,10,66.7,2,0,3,1,20.0,2,1,1,0,50.0,Serie A,2021-2022,90572289281
36,Ederson,BRA,GK,Manchester City,28,1993,9,9,810,9.0,6,0.67,15,10,66.7,5,2,2,5,55.6,1,1,0,0,0.0,Premier League,2021-2022,93530681915
37,Aarón Escandell,ESP,GK,Granada,26,1995,4,3,284,3.2,6,1.90,14,10,71.4,0,2,1,1,33.3,2,2,0,0,0.0,La Liga,2021-2022,52792339080
38,Łukasz Fabiański,POL,GK,West Ham,36,1985,10,10,900,10.0,11,1.10,38,25,71.1,6,2,2,3,30.0,0,0,0,0,0,Premier League,2021-2022,12248630654
39,Aitor Fernández,ESP,GK,Levante,30,1991,9,9,806,9.0,19,2.12,55,37,67.3,0,5,4,1,11.1,1,1,0,0,0.0,La Liga,2021-2022,97130489591
40,Álvaro Fernández,ESP,GK,Brentford,23,1998,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,0,Premier League,2021-2022,45541574091
41,Mark Flekken,NED,GK,Freiburg,28,1993,10,10,900,10.0,7,0.70,36,31,83.3,6,4,0,4,40.0,1,1,0,0,0.0,Bundesliga,2021-2022,81832089143
42,Ben Foster,ENG,GK,Watford,38,1983,6,6,540,6.0,11,1.83,26,15,57.7,2,1,3,0,0.0,0,0,0,0,0,Premier League,2021-2022,59135624515
43,Marius Funk,GER,GK,Greuther Fürth,25,1996,4,4,360,4.0,11,2.75,18,10,50.0,0,0,4,0,0.0,2,2,0,0,0.0,Bundesliga,2021-2022,79793111082
44,Gauthier Gallon,FRA,GK,Troyes,28,1993,12,12,1080,12.0,17,1.42,51,36,70.6,3,4,5,2,16.7,2,2,0,0,0.0,Ligue 1,2021-2022,85134853996
45,David de Gea,ESP,GK,Manchester Utd,30,1990,10,10,900,10.0,15,1.50,42,27,64.3,5,2,3,2,20.0,1,0,1,0,100.0,Premier League,2021-2022,14004940086
46,Rafał Gikiewicz,POL,GK,Augsburg,34,1987,10,10,900,10.0,19,1.90,46,29,63.0,2,3,5,3,30.0,2,2,0,0,0.0,Bundesliga,2021-2022,51340388922
47,Alfred Gomis,SEN,GK,Rennes,28,1993,11,11,990,11.0,9,0.82,34,23,73.5,5,4,2,5,45.5,0,0,0,0,0,Ligue 1,2021-2022,25346866141
