Rk,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League,Season,TeamID
1,Alavés,24,11.0,23.0,1.0,1,148,133,20,135,138,104,2,3,0,806,275,185,59.8,La Liga,2021-2022,37745278530914180
2,Angers,22,12.0,18.0,0.0,0,142,146,14,112,176,176,3,3,0,847,122,163,42.8,Ligue 1,2021-2022,66587352409382849
3,Arminia,22,10.0,16.0,1.0,1,137,93,10,105,146,102,1,3,0,890,230,264,46.6,Bundesliga,2021-2022,60726784699523350
4,Arsenal,26,10.0,14.0,1.0,0,94,81,18,89,141,82,1,0,0,768,161,180,47.2,Premier League,2021-2022,5838645288327307
5,Aston Villa,23,10.0,23.0,1.0,0,106,134,14,144,157,85,1,2,1,812,175,196,47.2,Premier League,2021-2022,14348480492050895
6,Atalanta,24,11.0,28.0,0.0,0,153,154,17,108,152,94,2,3,0,1001,226,154,59.5,Serie A,2021-2022,87465877057901989
7,Athletic Club,23,11.0,20.0,1.0,1,147,134,22,158,129,108,2,2,0,934,182,198,47.9,La Liga,2021-2022,4823083458145023
8,Atlético Madrid,21,11.0,38.0,2.0,1,128,128,27,145,122,114,1,3,0,856,163,130,55.6,La Liga,2021-2022,74713976168286555
9,Augsburg,24,10.0,20.0,0.0,0,118,97,26,110,147,100,0,2,2,898,193,208,48.1,Bundesliga,2021-2022,82828683183786310
10,Barcelona,27,11.0,21.0,2.0,1,137,165,18,190,111,121,3,0,0,841,150,142,51.4,La Liga,2021-2022,81744823723090567
11,Bayern Munich,22,10.0,6.0,1.0,0,79,97,19,131,162,108,0,0,0,943,147,121,54.9,Bundesliga,2021-2022,7510926916741648
12,Betis,29,12.0,27.0,1.0,0,152,145,22,130,145,140,2,1,1,985,198,183,52.0,La Liga,2021-2022,9423348454032625
13,Bochum,24,10.0,16.0,1.0,0,131,111,25,123,204,117,0,1,1,860,195,185,51.3,Bundesliga,2021-2022,26656491983030423
14,Bologna,24,11.0,34.0,4.0,2,126,156,4,123,106,90,2,4,1,700,157,140,52.9,Serie A,2021-2022,23275147453355121
15,Bordeaux,28,12.0,24.0,1.0,0,128,133,13,106,195,127,0,3,0,870,152,162,48.4,Ligue 1,2021-2022,12683680850395737
16,Brentford,21,10.0,18.0,1.0,1,108,98,20,108,153,120,1,0,0,908,219,219,50.0,Premier League,2021-2022,27125852983275500
17,Brest,22,12.0,20.0,0.0,0,157,124,17,161,209,144,2,1,2,918,269,210,56.2,Ligue 1,2021-2022,27328509848090670
18,Brighton,21,10.0,25.0,0.0,0,92,76,15,101,135,126,1,2,0,818,147,155,48.7,Premier League,2021-2022,49072214318111932
19,Burnley,18,10.0,22.0,0.0,0,94,76,29,149,152,94,0,0,0,941,264,224,54.1,Premier League,2021-2022,21823480134907726
20,Cádiz,26,12.0,31.0,1.0,1,134,123,19,176,165,148,3,3,0,950,245,264,48.1,La Liga,2021-2022,1007679934589500
21,Cagliari,26,11.0,28.0,2.0,1,148,135,23,128,155,93,2,3,0,683,174,190,47.8,Serie A,2021-2022,32968728316179674
22,Celta Vigo,22,12.0,32.0,1.0,0,145,138,28,185,163,140,1,4,0,994,206,206,50.0,La Liga,2021-2022,14218303985450920
23,Chelsea,25,10.0,11.0,1.0,0,106,109,18,119,142,110,1,1,0,761,159,144,52.5,Premier League,2021-2022,58172670324373785
24,Clermont Foot,20,12.0,12.0,2.0,0,108,153,13,142,157,152,0,2,1,890,125,146,46.1,Ligue 1,2021-2022,54976968050746588
25,Crystal Palace,19,10.0,17.0,0.0,0,109,106,20,109,133,110,1,0,0,852,191,157,54.9,Premier League,2021-2022,15352059381074619
26,Dortmund,27,10.0,20.0,1.0,1,100,127,19,99,132,126,3,2,1,919,150,142,51.4,Bundesliga,2021-2022,6921931827204601
27,Eint Frankfurt,24,10.0,20.0,0.0,0,127,96,12,131,162,119,1,0,0,970,227,258,46.8,Bundesliga,2021-2022,37929111009288632
28,Elche,23,12.0,28.0,1.0,1,140,155,23,142,186,91,0,0,0,836,154,167,48.0,La Liga,2021-2022,30674441257210497
29,Empoli,24,11.0,24.0,1.0,0,142,151,38,153,153,120,4,3,3,801,121,171,41.4,Serie A,2021-2022,77726683749984272
30,Espanyol,27,12.0,25.0,2.0,0,127,154,24,127,133,99,0,0,0,841,151,217,41.0,La Liga,2021-2022,71314269182841176
31,Everton,24,10.0,18.0,0.0,0,89,82,10,121,163,121,3,0,1,741,168,175,49.0,Premier League,2021-2022,57482013681231466
32,Fiorentina,24,11.0,34.0,3.0,2,143,166,14,137,134,95,2,3,0,780,143,144,49.8,Serie A,2021-2022,24325362613855847
33,Freiburg,23,10.0,8.0,0.0,0,128,138,18,108,138,93,1,1,1,851,223,217,50.7,Bundesliga,2021-2022,17577284562417651
34,Genoa,30,11.0,31.0,0.0,0,155,162,23,128,202,126,3,3,1,886,173,229,43.0,Serie A,2021-2022,87033800759594150
35,Getafe,26,12.0,43.0,4.0,1,185,158,18,132,187,143,1,3,0,926,241,256,48.5,La Liga,2021-2022,23789167582387071
36,Granada,25,11.0,37.0,0.0,0,146,147,16,111,133,101,1,3,0,761,176,261,40.3,La Liga,2021-2022,45137124328012624
37,Greuther Fürth,25,10.0,20.0,0.0,0,142,131,17,98,146,116,2,3,3,860,183,247,42.6,Bundesliga,2021-2022,11035944553035865
38,Hellas Verona,24,11.0,29.0,1.0,1,170,122,22,102,141,116,4,2,2,893,202,221,47.8,Serie A,2021-2022,45227680351245381
39,Hertha BSC,27,10.0,18.0,1.0,0,131,133,23,78,155,104,1,3,0,808,196,211,48.2,Bundesliga,2021-2022,59737400018465050
40,Hoffenheim,22,10.0,19.0,0.0,0,118,97,17,139,149,112,0,0,0,782,168,205,45.0,Bundesliga,2021-2022,29322720181807625
41,Inter,23,11.0,26.0,0.0,0,150,128,16,151,117,100,2,3,0,805,172,146,54.1,Serie A,2021-2022,53198597771575973
42,Juventus,24,11.0,22.0,0.0,0,161,156,24,129,132,104,1,2,0,844,185,157,54.1,Serie A,2021-2022,19371054131726661
43,Köln,22,10.0,21.0,1.0,1,127,130,17,168,208,117,0,0,1,898,215,189,53.2,Bundesliga,2021-2022,39731782814123330
44,Lazio,23,11.0,27.0,2.0,0,137,122,16,112,145,101,3,3,0,830,161,136,54.2,Serie A,2021-2022,90751438076496109
45,Leeds United,23,10.0,23.0,1.0,0,116,110,13,128,142,119,1,1,1,833,145,170,46.0,Premier League,2021-2022,34570153325607342
46,Leicester City,22,10.0,13.0,1.0,0,78,106,18,85,141,105,0,2,1,757,162,156,50.9,Premier League,2021-2022,18776461863573874
47,Lens,23,12.0,24.0,2.0,0,150,109,12,138,184,116,1,2,0,881,154,134,53.5,Ligue 1,2021-2022,74951719010833888
48,Levante,26,12.0,36.0,2.0,1,180,137,20,130,170,122,1,1,0,728,126,155,44.8,La Liga,2021-2022,1566092639264277
49,Leverkusen,23,10.0,24.0,1.0,0,99,110,17,75,176,113,2,2,0,782,126,157,44.5,Bundesliga,2021-2022,36794408106212849
50,Lille,22,12.0,32.0,0.0,0,129,149,24,130,170,150,2,2,0,905,188,174,51.9,Ligue 1,2021-2022,85603837513355486
51,Liverpool,24,10.0,11.0,0.0,0,101,75,17,138,128,91,0,0,0,912,141,135,51.1,Premier League,2021-2022,41956650829873911
52,Lorient,25,12.0,32.0,3.0,3,154,132,15,113,186,147,2,3,1,929,130,181,41.8,Ligue 1,2021-2022,37325341301512527
53,Lyon,25,12.0,20.0,5.0,2,123,120,19,121,180,156,3,4,2,867,146,146,50.0,Ligue 1,2021-2022,87005642993871754
54,M'Gladbach,22,10.0,20.0,0.0,0,112,134,24,89,148,120,2,0,1,843,152,142,51.7,Bundesliga,2021-2022,81611584009946193
55,Mainz 05,26,10.0,22.0,1.0,1,142,117,18,99,142,122,0,1,0,978,225,240,48.4,Bundesliga,2021-2022,71158960989778912
56,Mallorca,27,12.0,38.0,4.0,2,173,179,24,111,167,137,0,2,1,861,182,209,46.5,La Liga,2021-2022,96459977719332900
57,Manchester City,22,10.0,16.0,1.0,0,92,84,24,167,112,90,0,1,0,780,132,116,53.2,Premier League,2021-2022,74026506610392765
