Rk,Squad,# Pl,90s,Att,Pass Types: Live,Pass Types: Dead,Pass Types: FK,Pass Types: TB,Pass Types: Press,Pass Types: Sw,Pass Types: Crs,Pass Types: CK,Corner Kicks: In,Corner Kicks: Out,Corner Kicks: Str,Height: Ground,Height: Low,Height: High,Body Parts: Left,Body Parts: Right,Body Parts: Head,Body Parts: TI,Body Parts: Other,Outcomes: Cmp,Outcomes: Off,Outcomes: Out,Outcomes: Int,Outcomes: Blocks,League,Season,TeamID
1,Alavés,24,11.0,4024,3482,542,151,3,664,192,135,41,16,17,3,2275,589,1160,1062,2266,208,212,55,2999,18,101,124,122,La Liga,2021-2022,37745278530914180
2,Angers,22,12.0,5821,5279,542,163,4,802,221,112,63,15,32,1,4251,636,934,2084,3195,157,195,99,4892,13,92,138,117,Ligue 1,2021-2022,66587352409382849
3,Arminia,22,10.0,3922,3431,491,120,3,717,127,105,41,19,13,1,2141,611,1170,1014,2193,258,209,58,2822,8,89,100,111,Bundesliga,2021-2022,60726784699523350
4,Arsenal,26,10.0,4469,4043,426,94,6,658,114,89,53,19,19,7,3051,576,842,1825,2133,160,171,69,3627,17,67,112,90,Premier League,2021-2022,5838645288327307
5,Aston Villa,23,10.0,3920,3428,492,145,7,563,156,144,52,34,10,4,2363,568,989,1360,2002,195,182,58,2942,13,92,113,101,Premier League,2021-2022,14348480492050895
6,Atalanta,24,11.0,6012,5455,557,177,9,781,198,108,64,31,25,5,4114,873,1025,2102,3237,216,219,72,4916,15,105,156,150,Serie A,2021-2022,87465877057901989
7,Athletic Club,23,11.0,4653,4064,589,164,2,571,142,158,85,17,32,2,2821,679,1153,1069,2916,222,232,73,3508,20,114,158,133,La Liga,2021-2022,4823083458145023
8,Atlético Madrid,21,11.0,5795,5235,560,147,16,690,235,145,65,22,31,3,3915,808,1072,1450,3693,196,255,89,4761,24,111,180,130,La Liga,2021-2022,74713976168286555
9,Augsburg,24,10.0,3663,3144,519,109,3,638,142,110,41,16,22,0,1953,643,1067,766,2231,199,260,70,2571,25,95,138,118,Bundesliga,2021-2022,82828683183786310
10,Barcelona,27,11.0,7414,6830,584,187,18,948,185,190,76,24,17,1,5795,732,887,1588,5276,150,229,81,6483,17,79,155,113,La Liga,2021-2022,81744823723090567
11,Bayern Munich,22,10.0,6663,6195,468,121,18,976,154,131,52,29,15,1,5001,797,865,1960,4107,177,216,115,5641,17,80,222,130,Bundesliga,2021-2022,7510926916741648
12,Betis,29,12.0,6290,5735,555,175,8,851,159,130,58,20,21,2,4518,728,1044,2721,2964,189,222,71,5217,18,117,150,129,La Liga,2021-2022,9423348454032625
13,Bochum,24,10.0,3706,3188,518,122,6,575,153,123,36,16,11,1,1863,612,1231,1094,1902,212,246,60,2611,23,107,154,111,Bundesliga,2021-2022,26656491983030423
14,Bologna,24,11.0,4743,4241,502,164,3,734,147,123,54,30,9,1,3116,679,948,1174,3009,208,178,70,3880,3,69,110,106,Serie A,2021-2022,23275147453355121
15,Bordeaux,28,12.0,5590,4978,612,157,7,808,201,106,51,24,11,6,3800,720,1070,1343,3612,189,281,60,4535,11,106,172,129,Ligue 1,2021-2022,12683680850395737
16,Brentford,21,10.0,4001,3535,466,119,8,613,103,108,35,25,4,1,2259,620,1122,1131,2144,260,204,85,2863,18,87,153,118,Premier League,2021-2022,27125852983275500
17,Brest,22,12.0,5195,4608,587,143,8,820,199,161,55,27,16,4,3305,680,1210,1477,2956,215,264,89,4076,15,89,158,116,Ligue 1,2021-2022,27328509848090670
18,Brighton,21,10.0,5473,5060,413,81,7,757,155,101,53,16,27,1,3891,622,960,1295,3625,175,189,78,4475,13,89,146,142,Premier League,2021-2022,49072214318111932
19,Burnley,18,10.0,3728,3264,464,88,8,703,123,149,50,46,0,1,1750,671,1307,1171,1805,255,224,67,2556,28,85,104,121,Premier League,2021-2022,21823480134907726
20,Cádiz,26,12.0,3786,3186,600,144,5,605,155,176,53,19,21,2,1841,597,1348,726,2327,217,263,49,2533,17,111,132,130,La Liga,2021-2022,1007679934589500
21,Cagliari,26,11.0,4078,3569,509,148,4,506,104,128,38,15,16,1,2541,536,1001,1202,2336,149,193,65,3145,14,87,112,105,Serie A,2021-2022,32968728316179674
22,Celta Vigo,22,12.0,6117,5547,570,136,10,733,217,185,51,14,23,5,4111,884,1122,1836,3555,227,288,64,4895,23,122,153,148,La Liga,2021-2022,14218303985450920
23,Chelsea,25,10.0,5856,5436,420,117,21,783,93,119,54,35,6,3,4443,683,730,1224,4138,160,174,60,5006,18,52,146,110,Premier League,2021-2022,58172670324373785
24,Clermont Foot,20,12.0,6517,5931,586,158,8,882,197,142,69,29,26,2,4739,772,1006,1984,3952,184,239,71,5459,11,97,182,139,Ligue 1,2021-2022,54976968050746588
25,Crystal Palace,19,10.0,4956,4500,456,118,4,683,131,109,35,13,13,5,3345,656,955,1065,3263,196,210,86,4022,20,85,164,84,Premier League,2021-2022,15352059381074619
26,Dortmund,27,10.0,6371,5883,488,139,8,949,143,99,47,17,19,2,4760,725,886,1555,4236,192,220,70,5393,16,72,183,143,Bundesliga,2021-2022,6921931827204601
27,Eint Frankfurt,24,10.0,4787,4242,545,130,5,817,125,131,49,21,21,3,2958,723,1106,1758,2322,217,249,70,3559,12,114,201,134,Bundesliga,2021-2022,37929111009288632
28,Elche,23,12.0,5351,4716,635,191,3,761,180,142,50,22,20,2,3558,720,1073,1833,2901,161,249,102,4258,21,105,168,160,La Liga,2021-2022,30674441257210497
29,Empoli,24,11.0,4671,4077,594,164,4,722,110,153,59,14,28,5,3137,638,896,1159,2993,126,244,74,3647,33,86,141,137,Serie A,2021-2022,77726683749984272
30,Espanyol,27,12.0,4986,4376,610,177,6,606,161,127,74,27,32,0,3210,680,1096,1380,3026,186,206,79,3926,21,91,111,138,La Liga,2021-2022,71314269182841176
31,Everton,24,10.0,3361,2942,419,78,7,599,105,121,41,13,20,2,1920,517,924,956,1872,179,193,52,2464,8,106,116,127,Premier League,2021-2022,57482013681231466
