Rk,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,League,Season,TeamID
1,Alavés,24,11.0,6,109,29,26.6,9.91,2.64,0.04,0.14,16.1,3,2,2,10.0,8.4,0.08,-4.0,-4.4,La Liga,2021-2022,37745278530914180
2,Angers,22,12.0,17,119,37,31.1,9.92,3.08,0.12,0.38,17.5,6,3,3,14.7,12.4,0.11,2.3,1.6,Ligue 1,2021-2022,66587352409382849
3,Arminia,22,10.0,6,119,37,31.1,11.9,3.7,0.04,0.14,19.1,3,1,1,8.9,8.2,0.07,-2.9,-3.2,Bundesliga,2021-2022,60726784699523350
4,Arsenal,26,10.0,12,141,44,31.2,14.1,4.4,0.09,0.27,17.4,6,0,1,12.5,11.6,0.09,-0.5,0.4,Premier League,2021-2022,5838645288327307
5,Aston Villa,23,10.0,13,113,34,30.1,11.3,3.4,0.1,0.32,17.2,4,2,2,11.0,9.6,0.09,2.0,1.4,Premier League,2021-2022,14348480492050895
6,Atalanta,24,11.0,18,161,44,27.3,14.64,4.0,0.1,0.36,16.1,6,2,3,18.6,16.4,0.1,-0.6,-0.4,Serie A,2021-2022,87465877057901989
7,Athletic Club,23,11.0,10,139,42,30.2,12.64,3.82,0.06,0.21,15.3,4,1,3,17.3,15.1,0.11,-7.3,-6.1,La Liga,2021-2022,4823083458145023
8,Atlético Madrid,21,11.0,16,141,39,27.7,12.82,3.55,0.11,0.38,17.4,2,1,1,13.9,13.1,0.09,2.1,1.9,La Liga,2021-2022,74713976168286555
9,Augsburg,24,10.0,9,99,35,35.4,9.9,3.5,0.09,0.26,17.7,2,0,0,8.7,8.7,0.09,0.3,0.3,Bundesliga,2021-2022,82828683183786310
10,Barcelona,27,11.0,16,136,46,33.8,12.36,4.18,0.1,0.3,16.2,6,2,3,19.1,16.8,0.12,-3.1,-2.8,La Liga,2021-2022,81744823723090567
11,Bayern Munich,22,10.0,36,181,78,43.1,18.1,7.8,0.19,0.44,15.5,3,2,2,29.6,28.1,0.16,6.4,5.9,Bundesliga,2021-2022,7510926916741648
12,Betis,29,12.0,18,176,65,36.9,14.67,5.42,0.09,0.25,17.7,5,2,2,18.6,17.1,0.1,-0.6,-1.1,La Liga,2021-2022,9423348454032625
13,Bochum,24,10.0,8,116,32,27.6,11.6,3.2,0.07,0.25,18.3,8,0,0,11.7,11.7,0.1,-3.7,-3.7,Bundesliga,2021-2022,26656491983030423
14,Bologna,24,11.0,16,141,46,32.6,12.82,4.18,0.11,0.33,16.5,5,1,2,11.3,9.8,0.07,2.7,3.2,Serie A,2021-2022,23275147453355121
15,Bordeaux,28,12.0,16,132,45,34.1,11.0,3.75,0.11,0.33,19.0,5,1,1,11.1,10.4,0.08,4.9,4.6,Ligue 1,2021-2022,12683680850395737
16,Brentford,21,10.0,12,115,34,29.6,11.5,3.4,0.1,0.32,15.3,3,1,1,13.0,12.2,0.11,-1.0,-1.2,Premier League,2021-2022,27125852983275500
17,Brest,22,12.0,14,120,44,36.7,10.0,3.67,0.1,0.27,16.4,4,2,2,12.2,10.6,0.09,1.8,1.4,Ligue 1,2021-2022,27328509848090670
18,Brighton,21,10.0,11,115,36,31.3,11.5,3.6,0.08,0.25,16.8,5,2,2,10.7,9.2,0.08,0.3,-0.2,Premier League,2021-2022,49072214318111932
19,Burnley,18,10.0,9,118,35,29.7,11.8,3.5,0.08,0.26,16.2,4,0,0,11.3,11.3,0.1,-2.3,-2.3,Premier League,2021-2022,21823480134907726
20,Cádiz,26,12.0,11,111,25,22.5,9.25,2.08,0.07,0.32,17.5,3,3,4,12.6,9.5,0.09,-1.6,-1.5,La Liga,2021-2022,1007679934589500
21,Cagliari,26,11.0,12,105,31,29.5,9.55,2.82,0.1,0.32,16.7,2,2,2,10.4,8.8,0.09,1.6,1.2,Serie A,2021-2022,32968728316179674
22,Celta Vigo,22,12.0,10,131,38,29.0,10.92,3.17,0.07,0.24,17.9,3,1,2,13.4,11.9,0.09,-3.4,-2.9,La Liga,2021-2022,14218303985450920
23,Chelsea,25,10.0,25,142,53,37.3,14.2,5.3,0.16,0.43,17.2,8,2,2,17.2,15.8,0.11,7.8,7.2,Premier League,2021-2022,58172670324373785
24,Clermont Foot,20,12.0,12,137,46,33.6,11.42,3.83,0.09,0.26,16.7,4,0,0,15.0,15.0,0.11,-3.0,-3.0,Ligue 1,2021-2022,54976968050746588
25,Crystal Palace,19,10.0,13,108,29,26.9,10.8,2.9,0.1,0.38,16.1,3,2,2,11.2,9.7,0.09,1.8,1.3,Premier League,2021-2022,15352059381074619
26,Dortmund,27,10.0,25,136,50,36.8,13.6,5.0,0.15,0.42,16.0,5,4,4,20.6,17.5,0.13,4.4,3.5,Bundesliga,2021-2022,6921931827204601
27,Eint Frankfurt,24,10.0,9,116,35,30.2,11.6,3.5,0.07,0.23,18.1,4,1,2,12.4,10.9,0.09,-3.4,-2.9,Bundesliga,2021-2022,37929111009288632
28,Elche,23,12.0,9,98,37,37.8,8.17,3.08,0.09,0.24,18.7,3,0,0,9.8,9.8,0.1,-0.8,-0.8,La Liga,2021-2022,30674441257210497
29,Empoli,24,11.0,14,152,43,28.3,13.82,3.91,0.07,0.23,18.1,6,4,4,14.3,11.3,0.07,-0.3,-1.3,Serie A,2021-2022,77726683749984272
30,Espanyol,27,12.0,12,138,41,29.7,11.5,3.42,0.07,0.24,19.5,12,2,2,13.1,11.7,0.09,-1.1,-1.7,La Liga,2021-2022,71314269182841176
