Rk,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,xG,npxG,xA,npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,League,Season,TeamID
1,Alavés,24,28.0,40.7,11,121,990,11.0,6,4,4,2,2,23.0,1.0,0.55,0.36,0.91,0.36,0.73,10.0,8.4,5.4,13.9,0.91,0.49,1.4,0.77,1.26,La Liga,2021-2022,37745278530914180
2,Angers,22,28.0,47.0,12,132,1080,12.0,17,12,14,3,3,18.0,0.0,1.42,1.0,2.42,1.17,2.17,14.7,12.4,7.8,20.3,1.23,0.65,1.88,1.04,1.69,Ligue 1,2021-2022,66587352409382849
3,Arminia,22,26.6,40.2,10,110,900,10.0,6,3,5,1,1,16.0,1.0,0.6,0.3,0.9,0.5,0.8,8.9,8.2,5.7,13.9,0.89,0.57,1.47,0.82,1.39,Bundesliga,2021-2022,60726784699523350
4,Arsenal,26,24.9,46.0,10,110,900,10.0,12,6,12,0,1,14.0,1.0,1.2,0.6,1.8,1.2,1.8,12.5,11.6,7.5,19.1,1.25,0.75,2.0,1.16,1.91,Premier League,2021-2022,5838645288327307
5,Aston Villa,23,26.3,47.5,10,110,900,10.0,13,10,11,2,2,23.0,1.0,1.3,1.0,2.3,1.1,2.1,11.0,9.6,7.3,16.9,1.1,0.73,1.83,0.96,1.69,Premier League,2021-2022,14348480492050895
6,Atalanta,24,28.0,56.1,11,121,990,11.0,18,13,16,2,3,28.0,0.0,1.64,1.18,2.82,1.45,2.64,18.6,16.4,13.2,29.7,1.69,1.2,2.9,1.49,2.7,Serie A,2021-2022,87465877057901989
7,Athletic Club,23,27.2,47.1,11,121,990,11.0,10,8,9,1,3,20.0,1.0,0.91,0.73,1.64,0.82,1.55,17.3,15.1,11.8,26.8,1.58,1.07,2.65,1.37,2.44,La Liga,2021-2022,4823083458145023
8,Atlético Madrid,21,28.6,53.4,11,121,990,11.0,16,13,15,1,1,38.0,2.0,1.45,1.18,2.64,1.36,2.55,13.9,13.1,10.6,23.7,1.26,0.96,2.22,1.19,2.15,La Liga,2021-2022,74713976168286555
9,Augsburg,24,27.1,39.0,10,110,900,10.0,9,7,9,0,0,20.0,0.0,0.9,0.7,1.6,0.9,1.6,8.7,8.7,5.4,14.1,0.87,0.54,1.41,0.87,1.41,Bundesliga,2021-2022,82828683183786310
10,Barcelona,27,26.7,67.6,11,121,990,11.0,16,12,14,2,3,21.0,2.0,1.45,1.09,2.55,1.27,2.36,19.1,16.8,14.3,31.2,1.74,1.3,3.04,1.53,2.83,La Liga,2021-2022,81744823723090567
